Species;Height_gen;Height_veg;Height_veg&gen;LDMC;Leaf_area;Leaf_area1;Leaf_area2;Leaf_area3;Leaf_area4;Leaf_area5;Leaf_area6;Leaf_area7;Leaf_dry_mass;Leaf_fresh_mass;Leaf_length;Leaf_mass;Leaf_width;LeafArBRIT6CLASSFACTORIAL;Seed_dry_mass;Seed_number_per_inflorescence;Seed_number_per_plant;Seed_number_per_plant_BRIT5CLASSFACTORIAL;Seedmass;SLA;SLA1;SLA2;SLA3;SLA4;SLA5;sum_all_traits;Height_Grouped;Leaf_Grouped;Seed_Grouped;sum_Grouped;Height_veg_Selected;LDMC_Selected;Leaf_area_Selected;Leaf_dry_mass_Selected;Seed_dry_mass_Selected;Seed_number_per_plant_Selected;SLA2_Selected;sum_Selected
Berula erecta;1;1;1;1;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;0;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Betula nana;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;24;1;1;1;3;1;1;1;1;1;1;1;7
Betula pendula;1;1;1;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;22;1;1;1;3;1;1;1;1;1;1;1;7
Betula pubescens;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;22;1;1;1;3;1;1;1;1;1;1;1;7
Bidens cernua;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Bidens tripartita;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Bistorta vivipara;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blechnum spicant;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;9;1;1;0;2;1;1;1;1;0;0;0;4
Blysmopsis rufa;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Blysmus compressus;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;0;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Bolboschoenus maritimus;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0;10;1;1;1;3;1;0;0;1;1;1;1;5
Botrychium boreale;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botrychium lanceolatum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Botrychium lunaria;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;13;1;1;0;2;1;1;1;1;0;0;1;5
Botrychium matricariifolium;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;1
Botrychium multifidum;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;1
Brachypodium pinnatum;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;25;1;1;1;3;1;1;1;1;1;1;1;7
Brachypodium sylvaticum;1;1;1;1;1;1;0;0;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Braya glabella;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;1;0;0;1;1;0;0;0;2
Braya linearis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Briza media;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Bromopsis benekenii;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;12;1;1;1;3;1;1;1;1;1;1;1;7
Bromopsis ramosa;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;1;15;1;1;1;3;1;1;1;1;1;1;1;7
Bromus hordeaceus;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;23;1;1;1;3;1;1;1;1;1;1;1;7
Butomus umbellatus;0;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Cakile maritima;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Calamagrostis canescens;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Calamistrum globuliferum;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;7;1;1;1;3;1;0;0;1;0;1;1;4
Calla palustris;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;0;1;1;1;0;1;0;1;1;1;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Callitriche brutia;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1
Callitriche cophocarpa;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1
Callitriche hamulata;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Callitriche hermaphroditica;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4;1;0;1;2;1;0;0;0;1;0;0;2
Callitriche palustris;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
Callitriche stagnalis;0;1;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;11;1;1;1;3;1;1;1;1;1;1;0;6
Calluna vulgaris;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;22;1;1;1;3;1;1;1;1;1;1;1;7
Caltha palustris;1;1;1;1;1;1;0;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;22;1;1;1;3;1;1;1;1;1;1;1;7
Calystegia sepium;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;1;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Calystegia soldanella;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;1;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Campanula barbata;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0
Campanula cervicaria;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
Campanula latifolia;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Campanula persicifolia;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Campanula rotundifolia;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;22;1;1;1;3;1;1;1;1;1;1;1;7
Campanula trachelium;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Campanula uniflora;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;2;1;0;0;0;0;0;0;1
Cardamine amara;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Cardamine bellidifolia;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;4;1;0;1;2;1;0;0;0;1;0;0;2
Cardamine bulbifera;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Cardamine dentata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardamine flexuosa;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;0;15;1;1;1;3;1;1;1;1;1;1;0;6
Cardamine hirsuta;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Cardamine impatiens;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;13;1;1;1;3;1;1;1;1;1;1;0;6
Cardamine nymanii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cardamine pratensis;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Carduus crispus;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Carex ×stenolepis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex ×vacillans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex acuta;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Carex acutiformis;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Carex adelostoma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex appropinquata;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Carex aquatilis;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;21;1;1;1;3;1;1;1;1;1;1;1;7
Carex arctogena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex arenaria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex atrata;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Carex atrofusca;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Carex bicolor;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;1;2;1;0;0;0;1;0;0;2
Carex bigelowii;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;23;1;1;1;3;1;1;1;1;1;1;1;7
Carex binervis;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Carex brunnescens;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;9;1;1;1;3;1;1;1;1;0;1;0;5
Carex buxbaumii;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;13;1;1;1;3;1;1;1;1;1;1;1;7
Carex canescens;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;13;1;1;1;3;1;1;1;1;1;0;0;5
Carex capillaris;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;0;1;6
Carex capitata;1;1;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;11;1;1;1;3;1;0;0;1;1;0;0;3
Carex caryophyllea;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;17;1;1;1;3;1;1;1;1;1;1;1;7
Carex cespitosa;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;11;1;1;1;3;1;1;1;1;1;1;1;7
Carex chordorrhiza;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Carex concolor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex demissa;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Carex diandra;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;0;0;8;1;1;1;3;1;0;0;0;1;0;1;3
Carex digitata;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Carex dioica;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Carex disperma;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;1
Carex distans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex disticha;1;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;1;0;1;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Carex echinata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex elata;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Carex elongata;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;5;0;1;1;2;0;1;1;0;0;1;0;3
Carex ericetorum;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;11;1;1;1;3;1;1;1;1;1;0;0;5
Carex extensa;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Carex flacca;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Carex flava;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Carex fuliginosa;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;7;1;1;1;3;1;0;1;1;1;0;0;4
Carex glacialis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex glareosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex globularis;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;8;1;1;1;3;1;0;0;1;1;1;1;5
Carex halophila;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex hartmanii;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;5;1;0;1;2;1;0;0;0;1;0;1;3
Carex heleonastes;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;1
Carex hirta;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Carex holostoma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;1;0;1
Carex hostiana;0;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Carex jemtlandica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex lachenalii;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;11;1;1;1;3;1;1;1;1;1;1;0;6
Carex lapponica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex lasiocarpa;1;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Carex laxa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex lepidocarpa;1;1;1;1;1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;1;0;1;1;0;0;0;15;1;1;1;3;1;1;1;1;1;1;1;7
Carex leporina;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Carex limosa;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;16;1;1;1;3;1;1;1;1;1;1;1;7
Carex livida;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;1;2;1;0;0;0;1;0;0;2
Carex loliacea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex mackenziei;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;0;1;1;1;1;1;6
Carex macloviana;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex maritima;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex microglochin;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Carex muricata;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;1;0;1;0;0;1;0;15;1;1;1;3;1;1;1;1;1;1;0;6
Carex nardina;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;1;0;1;0;0;1;1;0;0;0;2
Carex nigra;1;1;1;1;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Carex norvegica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex ornithopoda;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;0;7;0;1;1;2;0;1;1;0;1;1;0;4
Carex paleacea;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;6;1;1;1;3;1;0;0;0;1;1;0;3
Carex pallescens;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;0;1;1;0;0;0;19;1;1;1;3;1;1;1;1;1;1;1;7
Carex panicea;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;1;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Carex paniculata;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;5;1;1;1;3;0;1;1;0;0;0;0;2
Carex parallela;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;1
Carex pauciflora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex paupercula;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;1;2;1;0;0;0;1;0;0;2
Carex pilulifera;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Carex pseudocyperus;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;0;0;5
Carex pulicaris;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;6;1;1;1;3;0;1;1;0;0;1;0;3
Carex punctata;1;1;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;0;1;0;0;0;14;1;1;1;3;1;1;1;1;1;1;1;7
Carex rariflora;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;7;1;1;1;3;1;0;0;0;1;1;0;3
Carex recta;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;4;1;1;1;3;1;0;0;0;0;1;0;2
Carex remota;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;0;14;1;1;1;3;1;1;1;1;1;1;0;6
Carex rhynchophysa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex riparia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex rostrata;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;20;1;1;1;3;1;1;1;1;1;1;1;7
Carex rotundata;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;10;1;1;1;3;1;1;1;1;1;1;0;6
Carex rufina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex rupestris;1;1;1;1;1;0;0;0;1;0;0;0;1;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;15;1;1;1;3;1;1;1;1;0;1;1;6
Carex salina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carex saxatilis;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;1;0;0;18;1;1;1;3;1;1;1;1;1;1;1;7
Carex scirpoidea;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;0;0;1
